,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
331,50.00 ,10.00 ,60.00 ,4800.00 ,20.00 ,300.00 ,
332,80.00 ,,,8000.00 ,,,
333,50.00 ,,,5000.00 ,,,
334,70.00 ,,,5000.00 ,,,
335,100.00 ,,,10000.00 ,,,
336,200.00 ,,,,,,
337,120.00 ,,,12000.00 ,,,
338,150.00 ,,,10000.00 ,,,
339,80.00 ,,,8000.00 ,,,
340,200.00 ,,,10000.00 ,,,
341,50.00 ,,,,,,
342,150.00 ,,,12000.00 ,,,
343,80.00 ,,,6000.00 ,,,
344,80.00 ,,,12000.00 ,,,
345,20.00 ,,,1500.00 ,,,
346,60.00 ,,,7000.00 ,60.00 ,,
347,50.00 ,,,6000.00 ,,,
348,50.00 ,,,4500.00 ,,,
349,20.00 ,,,4800.00 ,,,
350,40.00 ,10.00 ,,5760.00 ,,,
351,30.00 ,,40.00 ,5200.00 ,,,2600.00 
352,30.00 ,,40.00 ,5400.00 ,20.00 ,300.00 ,
353,30.00 ,,,5200.00 ,,,2600.00 
354,30.00 ,,40.00 ,4000.00 ,,,
355,20.00 ,,,4800.00 ,20.00 ,,2400.00 
356,40.00 ,20.00 ,,4000.00 ,20.00 ,300.00 ,2000.00 
357,20.00 ,,,3000.00 ,0.00 ,,
358,40.00 ,,,9600.00 ,,,
359,80.00 ,,,8000.00 ,,,
360,60.00 ,,,7200.00 ,,,
361,80.00 ,,,,,,
362,120.00 ,,,12000.00 ,,,
363,120.00 ,,,,,,
364,80.00 ,,,8000.00 ,,,
365,60.00 ,,,6000.00 ,20.00 ,600.00 ,
366,90.00 ,,,,,,
367,50.00 ,,,4000.00 ,,,
368,30.00 ,,,4000.00 ,20.00 ,500.00 ,
369,100.00 ,,120.00 ,15000.00 ,20.00 ,,
370,100.00 ,50.00 ,50.00 ,5250.00 ,,,
371,180.00 ,,,10000.00 ,,,
372,50.00 ,,40.00 ,,20.00 ,,
373,20.00 ,10.00 ,,4800.00 ,,,
374,20.00 ,10.00 ,,4800.00 ,,,
375,20.00 ,10.00 ,,4800.00 ,,,
376,20.00 ,10.00 ,,4800.00 ,,,
377,20.00 ,10.00 ,,4800.00 ,,,
378,20.00 ,10.00 ,,4800.00 ,,,
379,20.00 ,10.00 ,,4800.00 ,,,
380,20.00 ,10.00 ,,4800.00 ,,,
381,40.00 ,10.00 ,,4800.00 ,,,
382,20.00 ,,,,,,
383,20.00 ,,,4800.00 ,,,
384,20.00 ,,,4800.00 ,,,
385,20.00 ,,30.00 ,,20.00 ,,
386,20.00 ,,30.00 ,,20.00 ,,
387,20.00 ,,,4800.00 ,,,
388,20.00 ,,,,,,
389,50.00 ,,,,20.00 ,,
390,80.00 ,,,,,,
391,30.00 ,,,4800.00 ,,,
392,60.00 ,,,12000.00 ,,,
393,60.00 ,,,6000.00 ,,,
394,,,,6000.00 ,,,
395,100.00 ,,,8000.00 ,,,
396,,,,4500.00 ,,,
397,160.00 ,,,12000.00 ,,,
398,80.00 ,,,10000.00 ,,,
399,120.00 ,,,8000.00 ,,,
400,100.00 ,,,7000.00 ,,,
401,20.00 ,,30.00 ,,,,
402,100.00 ,,,,,,
403,30.00 ,,,9600.00 ,20.00 ,,
404,40.00 ,,,,,,
405,120.00 ,,,12000.00 ,,,
406,150.00 ,,,10000.00 ,80.00 ,800.00 ,
407,40.00 ,20.00 ,,,,,
408,20.00 ,,,,20.00 ,,
409,100.00 ,,,10000.00 ,,,
410,30.00 ,,,7200.00 ,0.00 ,,
411,20.00 ,,,4800.00 ,20.00 ,300.00 ,2400.00 
412,100.00 ,,,,,,
413,60.00 ,20.00 ,,6500.00 ,,,
414,150.00 ,,,15000.00 ,,,
415,40.00 ,,,5000.00 ,,,
416,100.00 ,,,8000.00 ,,,
417,80.00 ,,,8000.00 ,,,
418,100.00 ,,,,,,
419,40.00 ,,60.00 ,12000.00 ,80.00 ,,
420,100.00 ,,,,,,
421,30.00 ,,,6600.00 ,20.00 ,300.00 ,
422,100.00 ,,,5000.00 ,,,
423,100.00 ,,,,,,
424,80.00 ,,,8000.00 ,20.00 ,800.00 ,
425,50.00 ,30.00 ,,4800.00 ,20.00 ,300.00 ,
426,30.00 ,,,7200.00 ,,,
427,50.00 ,,,,,,
428,30.00 ,,,7200.00 ,,,
429,40.00 ,,40.00 ,2400.00 ,,,
430,60.00 ,,,,,,
431,60.00 ,,,4500.00 ,,,
432,50.00 ,,,4500.00 ,,,
433,80.00 ,,,10000.00 ,,,
434,80.00 ,,,8000.00 ,,,
435,180.00 ,,,10000.00 ,,,
436,120.00 ,,,10000.00 ,,,
437,50.00 ,,,,,,
438,30.00 ,,50.00 ,5000.00 ,10.00 ,500.00 ,
439,80.00 ,,,8000.00 ,,,
440,60.00 ,,,12000.00 ,,1200.00 ,
441,40.00 ,,,9600.00 ,,,
442,80.00 ,,,6000.00 ,,,
443,120.00 ,,,15000.00 ,,,
444,20.00 ,,,1500.00 ,,,
445,80.00 ,,,8000.00 ,50.00 ,600.00 ,
446,50.00 ,,60.00 ,9000.00 ,,,
447,50.00 ,,,4500.00 ,20.00 ,,
448,20.00 ,,,3000.00 ,0.00 ,,
449,30.00 ,,,4320.00 ,20.00 ,300.00 ,2160.00 
450,30.00 ,10.00 ,40.00 ,4800.00 ,10.00 ,300.00 ,2400.00 
451,50.00 ,,,,,,
452,100.00 ,,,12000.00 ,,,
453,40.00 ,,,,,,
454,180.00 ,,,,,,
455,150.00 ,,,10000.00 ,,,
456,40.00 ,,,6825.00 ,,,
457,150.00 ,,,15000.00 ,,,
458,120.00 ,,,8000.00 ,,,
459,30.00 ,,,,10.00 ,,
460,100.00 ,,,,,,
461,20.00 ,,30.00 ,,,,
462,40.00 ,,,9600.00 ,,,
463,80.00 ,,,,,,
464,40.00 ,,,6000.00 ,,,
465,80.00 ,,,10000.00 ,,,
466,,,,4000.00 ,,,
467,100.00 ,,,,,,
468,80.00 ,,,8000.00 ,,,
469,20.00 ,,40.00 ,6000.00 ,,,
470,60.00 ,,,7500.00 ,,,
471,200.00 ,,,,,,
472,50.00 ,,,5000.00 ,,,
473,40.00 ,,60.00 ,8000.00 ,20.00 ,300.00 ,
474,120.00 ,,,12000.00 ,,,
475,40.00 ,,,,,,
476,50.00 ,,,,,,
477,200.00 ,,,,,,
478,,,,8000.00 ,,,
479,20.00 ,10.00 ,,2500.00 ,,,
480,60.00 ,,,,,,
481,80.00 ,,,8000.00 ,,,
482,120.00 ,,,12000.00 ,30.00 ,800.00 ,
483,20.00 ,,,1500.00 ,,,
484,80.00 ,40.00 ,,8000.00 ,,,
485,40.00 ,,,6000.00 ,,,
486,30.00 ,,,,,,
487,20.00 ,,20.00 ,,0.00 ,,
488,20.00 ,,20.00 ,,0.00 ,,
489,60.00 ,,,,,,
490,50.00 ,,,8500.00 ,,,
491,100.00 ,,,,,,
492,60.00 ,,,,30.00 ,,
493,20.00 ,,,,,,
494,50.00 ,,,10000.00 ,,,
