type,totalcar,totalmotor,totalbike,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,serviceTime,farecar_weekday,farecar_night,farecar_haliday,farecar_month,faremotor_day_hour,faremotor_month,largemotor_month,parking_fare_classification,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
2.0,207.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,288.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,160.0,-1.0,-1.0,10500.0,-1.0,-1.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,528.0,0.0,0.0,12.0,11.0,0.0,14.0,1.0,40.0,20.0,-1.0,5200.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,-1.0,-1.0,8000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,132.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,30.0,10.0,30.0,2000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,426.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,70.0,-1.0,-1.0,4800.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,70.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,179.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,422.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,446.0,0.0,0.0,8.0,9.0,0.0,8.0,1.0,30.0,10.0,60.0,4200.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,141.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,226.0,0.0,0.0,4.0,5.0,1.0,6.0,1.0,30.0,10.0,60.0,5760.0,-1.0,-1.0,2880.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,812.0,0.0,0.0,20.0,47.0,0.0,0.0,1.0,40.0,20.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,209.0,0.0,0.0,4.0,5.0,1.0,5.0,1.0,40.0,-1.0,50.0,4000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,357.0,0.0,0.0,2.0,9.0,0.0,4.0,1.0,100.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,232.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,40.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,50.0,-1.0,-1.0,7000.0,-1.0,-1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
