antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ChargingStation=0.0'}),"frozenset({'farecar_weekday=0.0', 'type2=2.0'})",0.7289494787489976,0.05974338412189254,0.058941459502806735,0.08085808580858085,1.353423261789266,1.0,0.015391550788452023,1.0229721889086771,0.9634102161574688,0.08076923076923076,0.02245631812648215,0.5337176335083172
"frozenset({'farecar_weekday=1.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6431435445068163,0.5,0.4210104250200481,0.6546134663341646,1.3092269326683292,1.0,0.09943865276663993,1.4476534296028882,0.661864098448368,0.5830094392004442,0.30922693266832924,0.7483171581871304
frozenset({'ChargingStation=0.0'}),"frozenset({'type2=2.0', 'farecar_weekday=1.0'})",0.7289494787489976,0.44025661587810744,0.4210104250200481,0.5775577557755776,1.311866159293525,1.0,0.100085594359904,1.3250175421010426,0.8770583262890954,0.5627009646302251,0.2452930106764258,0.766920954390521
"frozenset({'faremotor_day/hour=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6022453889334403,0.5,0.4286287089013633,0.7117177097203728,1.4234354194407457,1.0,0.12750601443464316,1.7344110854503465,0.7478839132140379,0.6363095238095239,0.4234354194407457,0.7844875637615497
frozenset({'faremotor_day/hour=0.0'}),"frozenset({'type2=2.0', 'ChargingStation=0.0'})",0.7582197273456295,0.47995188452285487,0.4286287089013633,0.565309360126917,1.1778459015509866,1.0,0.06471972187942321,1.196363730373822,0.624502991745358,0.5294700346706291,0.1641338042841411,0.7291876792280366
frozenset({'ChargingStation=0.0'}),"frozenset({'faremotor_day/hour=0.0', 'type2=2.0'})",0.7289494787489976,0.44266238973536487,0.4286287089013633,0.588008800880088,1.3283459686548365,1.0,0.10595019064198341,1.352790087398006,0.9119483452433009,0.5769023205612519,0.26078701395319387,0.7781529511646816
frozenset({'ChargingStation=0.0'}),"frozenset({'faremotor_day/hour=1.0', 'type2=2.0'})",0.7289494787489976,0.057337610264635124,0.05132317562149158,0.0704070407040704,1.227938178433228,1.0,0.009526954506372629,1.0140593044608837,0.6848419008875738,0.06983087834151663,0.013864380908528961,0.4827559679044828
"frozenset({'faremotor_month=0.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.6788291900561347,0.5,0.4458700882117081,0.6568222090962788,1.3136444181925575,1.0,0.10645549318364073,1.45697074010327,0.7434019076873332,0.6083150984682714,0.3136444181925575,0.7742811927598474
frozenset({'ChargingStation=0.0'}),"frozenset({'faremotor_month=0.0', 'type2=2.0'})",0.7289494787489976,0.4631114675220529,0.4458700882117081,0.6116611661166116,1.3207644573981208,1.0,0.10828522535882429,1.3825259943978863,0.8960053850410796,0.5975282106394412,0.2766862944696261,0.7872158644435872
"frozenset({'largemotor_month=1.0', 'ChargingStation=0.0'})",frozenset({'type2=2.0'}),0.7076984763432237,0.5,0.4723336006415397,0.6674220963172804,1.3348441926345609,1.0,0.11848436246992783,1.5034071550255537,0.8581853878024411,0.6423118865866958,0.3348441926345609,0.8060446488001799
